"state.x","total_homeless","sheltered_total","unsheltered","census_full","poverty_rate","median_income","unemployment_rate","median_rent","rent_burden_severe","owner_occupied","renter_occupied","college_educated","disability_rate","veteran_population","foreign_born","total_population","state.y","homelessness_rate","severe_rent_burden_rate","rental_vacancy_rate"
"OK",5467,3251,2216,"Oklahoma",14.9,66148,4.7,66598,5.7,1603748,1053182,167009,709182,-888888888,9.9,4095393,"40",13.3491462235737,0.000541216997631938,35.1239307192252
"OR",22875,8684,14191,"Oregon",11.8,85220,4.9,56167,2.3,1744270,1100905,142270,673608,-888888888,8.5,4272371,"41",53.5416985088608,0.000208919025710665,33.4052450033014
"PA",14088,11453,2635,"Pennsylvania",11.6,77545,4.3,175347,3.1,5361724,3713956,441486,1870782,-888888888,9.1,13078751,"42",10.7716707811013,8.34689479358398e-05,30.6074410316398
"RI",2442,1908,534,"Rhode Island",12.2,83504,5,14782,2.9,448318,284679,37734,150190,-888888888,10,1112308,"44",21.9543507733469,0.00101869122766344,34.1012561269001
"SC",4593,2747,1846,"South Carolina",13.3,72350,4.5,89200,6.4,2222890,1607358,237297,795461,-888888888,9.2,5478831,"45",8.38317517003171,0.000398168920676041,30.0900502315184
"SD",1338,1111,227,"South Dakota",10.4,76881,2.8,10640,4.1,382302,261078,25022,125268,-888888888,NA,924669,"46",14.4700427936916,0.00157041190755253,30.4205072301548
"TN",8280,3932,4348,"Tennessee",13.5,71997,4.2,97554,6.5,2928765,1957004,298845,1058522,-888888888,9.1,7227750,"47",11.4558472553699,0.000332140353315578,32.4026287572204
"TX",27987,15648,12339,"Texas",13.4,79721,4.8,390580,3.3,11449769,7134877,1312080,3945765,-888888888,9.8,31290831,"48",8.94415364040667,4.6251673294438e-05,40.6067355641657
"UT",3869,2861,1008,"Utah",8.3,96658,3.8,26393,1.9,1184428,824019,82094,381033,-888888888,11.9,3503613,"49",11.0428863005132,0.000230577207564389,42.6749758035491
"VA",7141,5560,1581,"Virginia",9.7,92090,3.6,95959,3.3,3449307,2315258,278714,1121737,-888888888,9.4,8811195,"51",8.10446256154812,0.000142532711257234,34.576808253591
"VT",3458,3291,167,"Vermont",9,82730,2.7,6200,1.5,285548,209117,16174,95612,-888888888,NA,648493,"50",53.3236287824232,0.000717301797558305,23.7208420137149
"WA",31554,15332,16222,"Washington",9.9,99389,4.9,86699,2.4,3168080,1992341,246825,1083349,-888888888,8.5,7958180,"53",39.6497691683274,0.000120461306573523,35.1557642576569
"WI",5049,4539,510,"Wisconsin",10.3,77488,3.1,69437,2.1,2535198,1723526,163198,759018,-888888888,9.3,5960975,"55",8.47009088278344,0.000121843244604375,28.5565867999782
"WV",1779,991,788,"West Virginia",16.7,60798,4.6,32129,11,740840,559415,87546,341078,-888888888,NA,1769979,"54",10.0509667063847,0.00196633983715131,26.5383939583464
"WY",501,412,89,"Wyoming",10.1,75532,3.4,6898,3.8,256289,183683,14097,82607,-888888888,NA,587618,"56",8.52594712891709,0.00206878154211331,25.1261874210797
